input_te,output_te,input_en,output_en
నేను ఆలస్యంగా వస్తున్నాను.,నేను వేగాన్ని పెంచుతాను.,I am getting late.,I will increase the speed.
నిదానంగా వెళ్ళు.,"సరే, నిదానంగా వెళ్తాను.",Go slowly.,"Okay, I will go slowly."
వాల్యూమ్ పెంచు.,పెంచాను.,Increase the volume.,Increased.
వాల్యూమ్ తగ్గించు.,తగ్గించాను.,Decrease the volume.,Decreased.
నేను భయపడుతున్నాను.,మీరు సురక్షితంగా ఉన్నారు. నేను బాగా డ్రైవ్ చేస్తాను.,I am scared.,You are safe. I drive well.
వేరే పాట పెట్టు.,"తప్పకుండా, మరో పాటను ప్లే చేస్తున్నాను.",Play another song.,"Sure, playing another song."
చల్లని గాలి కావాలి.,"సరే, చల్లని గాలి వస్తుంది.",I need cool air.,"Okay, cool air is coming."
రూట్ మ్యాప్ చూడు.,రూట్ మ్యాప్ డిస్ప్లే మీద చూపిస్తున్నాను.,Show the route map.,Showing the route map on the display.
ఇది ఎంత దూరం?,ఇంకా 10 కిలోమీటర్లు ఉంది.,How far is it?,It is still 10 kilometers away.
నాకు చాలా అలసిపోయింది,మీరు అలసిపోయారని వినడానికి నేను చింతిస్తున్నాను. సీటు వెనుకకు వాల్చాలా? నేను రిలాక్సింగ్ సంగీతం ప్లే చేయవచ్చు.,I am very tired,I am sorry to hear you are tired. Should I recline the seat? I can play some relaxing music.
నేను సంతోషంగా ఉన్నాను!,అది వినడానికి చాలా సంతోషంగా ఉంది! నేను మీ కోసం ఉల్లాసమైన సంగీతం ప్లే చేయనా?,I am happy!,I am very happy to hear that! Shall I play some upbeat music for you?
నాకు చాలా ఒత్తిడిగా ఉంది,"మీకు ఒత్తిడిగా ఉందని వినడానికి నాకు బాధగా ఉంది. నావిగేషన్ వ్యవస్థను ఆన్ చేసి, మీ గమ్యానికి వేగవంతమైన మార్గాన్ని కనుగొననా?",I am very stressed,I am sorry to hear you are stressed. Should I turn on the navigation system and find the fastest route to your destination?
సంగీతం పెట్టు,"ఖచ్చితంగా, మీకు ఇష్టమైన సంగీతం ఏమైనా ఉందా?",Play music,"Sure, do you have any favourite music?"
లైట్లు కొంచెం వెలిగించు,ఖచ్చితంగా. లైట్లు కొంచెం వెలిగించాను.,Turn up the lights a little,Sure. I have turned up the lights a little.
కిటికీలు తెరువు,ఖచ్చితంగా. కిటికీలు తెరుస్తున్నాను.,Open the windows,Sure. I am opening the windows.
ఏసీ ఆన్ చేయండి,ఖచ్చితంగా. ఏసీ ఆన్ చేశాను. మీకు ఏ ఉష్ణోగ్రత కావాలి?,Turn on the AC,Sure. I have turned on the AC. What temperature would you like?
ఉష్ణోగ్రతను 22 డిగ్రీలకు సెట్ చేయండి,ఖచ్చితంగా. ఉష్ణోగ్రతను 22 డిగ్రీలకు సెట్ చేశాను.,Set the temperature to 22 degrees,Sure. I have set the temperature to 22 degrees.
నావిగేషన్ ప్రారంభించండి. ఇంటికి వెళ్ళండి.,ఖచ్చితంగా. ఇంటికి వెళ్ళే మార్గాన్ని ప్రారంభిస్తున్నాను.,Start navigation. Take me home.,Sure. I am starting navigation to your home.
నేను ఆత్రుతగా ఉన్నాను!,గొప్పగా ఉంది! నేనేమో కొత్త రూట్ ఎంచుకుంటున్నాను. అది మరింత ఎక్సైటింగ్ గా ఉంటుంది.,I am excited!,Great! I will choose a new route for you. It will be more exciting.
చాలా చల్లగా ఉంది,"అయ్యో, క్షమించండి. హీటర్ పెంచనా?",It's very cold,"Oh, sorry. Should I increase the heater?"
నేను నిద్రపోతున్నాను,మీరు నిద్రపోతున్నారని వినడానికి నేను విచారిస్తున్నాను. డ్రైవింగ్ సహాయం కోసం నేను దృష్టి పెట్టనా?,I'm falling asleep,I'm sorry to hear you're falling asleep. Should I engage driving assist to keep you alert?
వాల్యూమ్ పెంచు,ఖచ్చితంగా. వాల్యూమ్ పెంచాను.,Turn up the volume,Sure. I have turned up the volume.
నాకు దాహం వేస్తుంది,క్షమించండి. సమీపంలోని దుకాణం గురించి నావిగేషన్ అందించనా?,I am thirsty,Sorry to hear that. Should I provide navigation to a nearby store?
